index	return	risk	AAPL	SPY	TSLA	SPOT	GOOG	NVDA
0	0.019970257251693803	0.03386088121490703	0.13218119499292413	0.7604355609069354	2.811948602604973e-20	0.00673885084902678	0.10064439325111367	-2.1161397251370002e-20
1	0.02048133010030669	0.033870523518522946	0.13234637679221112	0.7458859394206137	2.739803483253052e-20	0.01634843384904714	0.10541924993812814	-2.0637205673309878e-20
2	0.020992402948919575	0.0338994339735213	0.13251155859149794	0.7313363179342922	2.6678230371828202e-20	0.02595801684906735	0.11019410662514251	-2.011653932635011e-20
3	0.021503475797532458	0.03394756335245558	0.13267674039078492	0.7167866964479706	2.5954695694192667e-20	0.03556759984908756	0.11496896331215693	-1.9593158699975285e-20
4	0.022014548646145344	0.03401483007381314	0.1328419221900718	0.7022370749616491	2.5233741827862242e-20	0.045177182849107815	0.11974381999917133	-1.9071051710898975e-20
5	0.02252562149475823	0.03410112088875263	0.1330071039893586	0.6876874534753274	2.45114873596795e-20	0.05478676584912817	0.12451867668618578	-1.854883928846727e-20
6	0.023036694343371116	0.034206291823666024	0.13317228578864543	0.6731378319890059	2.3788923625456745e-20	0.06439634884914844	0.1292935333732002	-1.8025654136863563e-20
7	0.023547767191984002	0.03433016936048849	0.13333746758793227	0.6585882105026846	2.306892464621215e-20	0.07400593184916865	0.1340683900602145	-1.7505177880138406e-20
8	0.024058840040596885	0.03447255183260133	0.13350264938721929	0.6440385890163629	2.2346634011727456e-20	0.08361551484918886	0.13884324674722895	-1.6980805457860475e-20
9	0.02456991288920977	0.034633211010827315	0.13366783118650616	0.6294889675300414	2.1625811734273903e-20	0.09322509784920915	0.1436181034342434	-1.6459985953913413e-20
10	0.025080985737822657	0.034811893851486114	0.133833012985793	0.6149393460437198	2.0903022516924915e-20	0.10283468084922945	0.1483929601212578	-1.5934330028238513e-20
11	0.025592058586435543	0.03500832437680108	0.13399819478508	0.600389724557398	2.0179230451460368e-20	0.1124442638492497	0.1531678168082722	-1.541323865308099e-20
12	0.02610313143504843	0.03522220565712848	0.13416337658436686	0.5858401030710764	1.9459142439611397e-20	0.12205384684927004	0.15794267349528668	-1.4890619797912195e-20
13	0.026614204283661312	0.03545322186448397	0.1343285583836538	0.571290481584755	1.87374778365499e-20	0.13166342984929016	0.162717530182301	-1.4368656706032128e-20
14	0.0271252771322742	0.03570104036760185	0.13449374018294064	0.5567408600984335	1.8015339781248867e-20	0.14127301284931051	0.16749238686931542	-1.384616469971538e-20
15	0.027636349980887084	0.03596531384019178	0.1346589219822276	0.5421912386121118	1.7292950789435632e-20	0.15088259584933078	0.17226724355632983	-1.3324413826253101e-20
16	0.02814742282949997	0.03624568235604603	0.13482410378151444	0.5276416171257903	1.6571823472529377e-20	0.16049217884935107	0.17704210024334427	-1.2800049075216065e-20
17	0.028658495678112857	0.03654177544708006	0.1349892855808013	0.5130919956394687	1.5851529959967894e-20	0.17010176184937129	0.18181695693035865	-1.2275326849986283e-20
18	0.02916956852672574	0.03685001024146608	0.13677757526635656	0.49788768932500194	1.1406378863296409e-20	0.17650345771489476	0.18520198568598237	0.003629292007764454
19	0.02968064137533863	0.03716475452735247	0.1388301892325614	0.4825767671178296	1.0801921137152138e-20	0.18238274686524872	0.18836067996852535	0.007849616815834902
20	0.03019171422395151	0.037485760807125235	0.14088280319876625	0.4672658449106574	1.0194097044035365e-20	0.18826203601560274	0.19151937425106833	0.012069941623905334
21	0.030702787072564398	0.03781286960054835	0.142935417164971	0.4519549227034852	9.588173431695569e-21	0.1941413251659567	0.1946780685336114	0.01629026643197573
22	0.031213859921177284	0.03814592391718374	0.14498803113117584	0.4366440004963129	8.984654194480719e-21	0.2000206143163106	0.19783676281615437	0.020510591240046217
23	0.031724932769790166	0.038484769396366345	0.14704064509738066	0.4213330782891407	8.379206188543885e-21	0.2058999034666646	0.20099545709869737	0.024730916048116672
24	0.032236005618403056	0.038829254427761674	0.14909325906358536	0.40602215608196857	7.774943394231052e-21	0.21177919261701858	0.2041541513812404	0.028951240856187103
25	0.03274707846701594	0.03917923025365138	0.15114587302979035	0.39071123387479606	7.165473861480766e-21	0.2176584817673726	0.2073128456637834	0.03317156566425756
26	0.03325815131562883	0.03953455105410763	0.15319848699599514	0.37540031166762383	6.560715669577602e-21	0.22353777091772656	0.21047153994632642	0.037391890472328035
27	0.03376922416424171	0.03989507401621761	0.15525110096219982	0.36008938946045194	5.955850423812314e-21	0.2294170600680805	0.2136302342288694	0.041612215280398365
28	0.034280297012854594	0.040260659388509146	0.15730371492840473	0.34477846725327965	5.348763122446905e-21	0.2352963492184344	0.2167889285114124	0.045832540088468855
29	0.03479136986146748	0.04063117052170718	0.15935632889460963	0.32946754504610715	4.7432749752088935e-21	0.24117563836878844	0.21994762279395547	0.05005286489653933
30	0.035302442710080366	0.041006473896922316	0.16140894286081434	0.31415662283893514	4.1370414201358816e-21	0.24705492751914238	0.22310631707649844	0.054273189704609676
31	0.03581351555869325	0.04138643914233653	0.1634615568270191	0.2988457006317629	3.5335500085688976e-21	0.25293421666949634	0.22626501135904137	0.05849351451268017
32	0.03632458840730614	0.04177093903941	0.16551417079322384	0.2835347784245908	2.9265491038961703e-21	0.2588135058198503	0.22942370564158443	0.06271383932075059
33	0.03683566125591903	0.04215984951958816	0.1675667847594288	0.2682238562174186	2.321771659536777e-21	0.26469279497020426	0.23258239992412744	0.06693416412882104
34	0.03734673410453191	0.04255304965243922	0.1696193987256335	0.25291293401024645	1.7148130146445915e-21	0.2705720841205582	0.23574109420667047	0.07115448893689144
